id;nombre
1;Creciendo 
2;Lcda. Berndarda Cordero
3;Happy Kids Centro De Educacion Inicial
4;Centro de desarrollo infantil
5;Casita Mia Estimulacion E Intervención Temprana
6;Unidad educativa particular Dominicana San Luis Beltran 
7;Etimulación Temprana MEDIFIT 
8;Centro Educativo Los Pinos 
9;Mama Canguro
10;Centro de desarrollo infantil la Guarde
11;Centro Infantil Mis Enanitos
12;Centro de Desarrollo Infantil Mi Ángel Guardián
13;Carrusel Centro de Educación Inicial
14;Centro de Educacion Inicial - GOTITAS DE AMOR
15;Centro de Desarrollo Infantil Crayola
16;Centro de Desarrollo Infantil Estrellitas
17;Centro de Desarrollo Infantil Manchitas
18;Centro de Desarrollo Infantil La escuelita
